Product,Revenue,CumPct,Category
Gilbeys London Dry,38974.67,0.39437058199294767,A
Franzia Tap Chard,38858.01,0.39554314513452643,A
Capt Morgan Private Stock,38333.020000000004,0.3966998663963049,A
Sebastiani Znfdl Sonoma Cnty,38331.63,0.3978565457140218,A
Josh Cellars Chard,38294.520000000004,0.3990121052158195,A
Canadian Mist,37761.590000000004,0.4001515832436806,A
Bacardi Oakheart Spiced Rum,37749.71,0.4012907027856049,A
Sterling Vintners Cltn Chard,37598.02,0.4024252449932048,A
Ryans Irish Cream,37436.33,0.4035549081106414,A
Luksusowa Potato Vodka,37300.2,0.4046804634258393,A
Johnnie Walker Blue Label,37268.520000000004,0.4058050627785388,A
Cecchi Sangiovese,37033.31,0.40692256453214537,A
Remy Martin VSOP Cognac,36816.31,0.40803351818404204,A
Fireball Cinnamon Whiskey,36743.22,0.40914226630251027,A
Goslings Black Seal Bermuda,36643.369999999995,0.4102480013889244,A
Mount Gay Eclipse,36413.17,0.41134679005592106,A
The Macallan 12 Yr Old,36350.46,0.4124436864120503,A
DeKuyper Triple Sec,36100.61,0.413533043398538,A
Hennessy Privilege VSOP,35870.15,0.4146154461199564,A
Glen Ellen Chard RSV,35725.86,0.4156934948063714,A
Pinnacle Whipped Vodka,35651.85,0.4167693101978208,A
Oyster Bay Svgn Bl Marlboro,35305.31,0.41783466854241985,A
Basil Hayden Bourbon,35017.0,0.41889132696441994,A
Bombay Dry Gin,34485.9,0.41993195913380205,A
Belvedere Vodka,34178.26,0.4209633080865481,A
Meiomi Pnt Nr,34144.11,0.42199362654310335,A
Alamos Ridge Malbec Mendoza,34131.41,0.42302356176974293,A
E & J Brandy VS,33961.28,0.4240483632242908,A
Ciroc Snap Frost Vodka,33924.7,0.425072060855979,A
Ciroc Red Berry Vodka,33627.27,0.42608678336374295,A
Smirnoff Vanilla Vodka,33370.75,0.4270937652307207,A
Buchanans Deluxe 12Yr Scotch,33091.98,0.4280923350501701,A
Jameson Black Barrel,33013.68,0.42908854212139874,A
The Famous Grouse,32999.64,0.4300843255274293,A
Lagavulin Single Malt 16-Yr,32977.509999999995,0.43107944114778773,A
Toasted Head Chard,32911.87,0.4320725760428179,A
Bella Sera Pinot Grigio Del,32893.090000000004,0.4330651442403821,A
Smirnoff 80 Proof Traveler,32835.32,0.43405596919446354,A
Calico Jack Spiced Rum,32825.5,0.4350464978243109,A
Sonoma-Cutrer Chard Sonoma,32807.71,0.43603648963052033,A
1800 Reposado Gold Tequila,32209.72,0.4370084367393037,A
Banfi Centine Mntcln Tscna,31728.09,0.4379658503816053,A
Beringer Classic Wh Znfdl,31713.69,0.43892282949549855,A
Gilbeys Vodka Traveler,31692.52,0.43987916979228026,A
Barefoot Pnt Grigio Cal,31618.61,0.4408332798116547,A
Joseph Carr Cab Svgn Napa,31553.96,0.44178543897952904,A
Ezra Brooks,31498.469999999998,0.4427359237042518,A
Chambord Royale de France,31444.059999999998,0.4436847665754537,A
Bacardi Gold Rum Traveler,31392.55,0.44463205510232806,A
Rodney Strong Cab Svgn,31245.6,0.4455749093271459,A
Jack Daniels Tennessee Fire,30948.010000000002,0.446508783599946,A
Gilbeys Vodka,30885.22,0.4474407631478321,A
WhistlePig 10 Yr Old Rye,30663.71,0.4483660585021248,A
Cutty Sark,30662.739999999998,0.44929132458610116,A
Jim Beam Black,30520.2,0.45021228944234604,A
Jenkins Rum,30457.47,0.45113136138421184,A
La Crema Chard Sonoma Cst,30411.379999999997,0.45204904253341494,A
Ciroc Peach Vodka,30157.78,0.4529590711545368,A
Simi Svgn Bl,30011.32,0.4538646802596384,A
Bacardi Gold Rum,29725.34,0.45476165975125143,A
Freakshow Cab Svgn,29720.309999999998,0.45565848745967746,A
Ch La Rousseliere St Estephe,29698.02,0.456554642554338,A
Tullamore Dew,29570.89,0.4574469614270152,A
Mionetto Prosecco Brut,29478.55,0.4583364938862736,A
Oban 14-Yr Single Malt,29445.21,0.45922502029156426,A
Tanqueray Sterling Vodka,29442.35,0.4601134603946848,A
Stone Cellars Chard,28969.02,0.4609876174886703,A
Columbia Crest G E Cab Svgn,28854.96,0.46185833275555427,A
Buffalo Trace Bourbon,28788.48,0.4627270419496195,A
Turning Leaf RSV Chard Cal,28729.71,0.4635939777246179,A
F Coppola Black Label Claret,28482.39,0.46445345047420217,A
Capt Morgan Spiced Rum Trav,28386.46,0.46531002848002134,A
Frangelico Hazelnut Liqueur,28343.61,0.46616531346206963,A
Smirnoff Orange Vodka,27948.79,0.46700868452007605,A
Laphroaig 10 Yr Single Malt,27948.74,0.4678520540693033,A
Drambuie,27890.39,0.46869366287320907,A
Red Stag by Jim Beam,27847.89,0.4695339892147984,A
Bacardi Limon Rum,27820.879999999997,0.4703735005138661,A
Clos du Bois Cab Svgn N Cst,27615.12,0.4712068028847871,A
Old Crow,27565.91,0.4720386203152237,A
Dom Perignon,27551.100000000002,0.4728699908452624,A
Buehler Chard RRV,27397.25,0.4736967188617156,A
R M Woodbridge Pnt Grigio,27373.52,0.4745227308115625,A
Cupcake Chard,27359.8,0.475348328752398,A
Stolichnaya Ohranj,27343.46,0.4761734336241924,A
R M Woodbridge Merlot Cal,27337.45,0.47699835714072736,A
Hennessy VS Cognac,27179.28,0.4778185077851543,A
Arrow Coffee Brandy,26823.23,0.47862791441292785,A
H3 Horse Heaven Hills Cab Sv,26614.81,0.4794310318455015,A
Capt Morgan White,26376.92,0.4802269708084173,A
The Glenlivet 15Yr FrenchOak,26285.190000000002,0.48102014176502045,A
Butter Chard,26259.47,0.4818125366056053,A
Milagro Silver Tequila,26062.27,0.48259898082104175,A
Cruzan Aged Dark Rum,26002.949999999997,0.4833836350208403,A
Cupcake Svgn Bl,25813.15,0.4841625618948116,A
Finlandia Vodka,25794.92,0.48494093866788807,A
Old Smuggler P E T,25718.94,0.48571702270009853,A
Yellow Tail Chard Ausl,25542.95,0.48648779613129556,A
Barefoot Chard Cal,25392.84,0.4872540399055909,A
Emmets Irish Cream,25372.75,0.4880196774524054,A
La Marca Prosecco,25283.23,0.4887826136809477,A
Cupcake Prosecco,25282.5,0.4895455278813137,A
Jeffersons Bourbon,25221.629999999997,0.4903066052938868,A
Cecchi Chianti Classico,25188.22,0.4910666745402012,A
Stolichnaya Vanil,25120.84,0.4918247105556713,A
Barefoot Moscato Cal,25068.81,0.49258117653551026,A
J & B Rare,25005.95,0.4933357456781442,A
L Martini Cab Svgn Sonoma,24927.86,0.4940879584094301,A
Chopin Vodka,24897.22,0.49483924656082484,A
B & B Liqueur Dom,24871.199999999997,0.495589749543526,A
Madison's Ranch Cab Svgn,24797.91,0.496338040957682,A
Agua de Piedra Malbec Selccn,24613.73,0.49708077463279227,A
Duckhorn Decoy Cab Svgn,24582.07,0.49782255294891575,A
Capt Morgan Silver Spicd Rum,24554.82,0.4985635089803775,A
Remy Martin 1738 Accord Ryl,24530.31,0.4993037254082775,A
Kris Pnt Grigio Alto Adige,24528.79,0.5000438959692899,A
Bacardi Dragon Berry Rum,24478.63,0.5007825529230131,A
Joel Gott Cab Svgn 815,24469.29,0.5015209280367824,A
Ch Beauchene Cotes du Rhone,24467.75,0.5022592566801526,A
Rombauer Carneros Chard,24300.5,0.5029925384571127,A
Whitehaven Svgn Bl Marlboro,24178.87,0.5037221499778011,A
Silverado Cab Svgn Napa,24068.41,0.50444842830349,A
M & R Sweet Vermouth,24023.850000000002,0.5051733620051597,A
Black Box Cab Svgn,23984.879999999997,0.5058971197643242,A
M & R Asti,23710.18,0.5066125882905869,A
Balvenie 12 Yr Doublewood S,23693.05,0.507327539909097,A
14 Hands Cab Svgn Wash,23631.14,0.5080406233572069,A
Stolichnaya Blueberi,23565.73,0.5087517330203728,A
E & J Superior RSV VSOP,23546.969999999998,0.5094622765895843,A
Franzia Crisp White Tap,23546.77,0.5101728141236792,A
Absolut Mandrin,23540.5,0.5108831624568628,A
Smirnoff Citrus Vodka,23479.46,0.5115916688724044,A
Crown Royal Hand Slct Barrel,23425.74,0.5122985542555777,A
Sutter Home Wh Znfdl,23362.16,0.5130035210751257,A
Silver Oak Cab Svgn Alex Vly,23331.67,0.5137075678411203,A
Ciroc Pineapple Vodka,23222.87,0.5144083315035846,A
Franzia Tap Wh Znfdl Cal,23217.83,0.5151089430811059,A
R M Woodbridge Svgn Bl Cal,23170.88,0.5158081379149624,A
GranGala Triple Orange,22934.289999999997,0.51650019350742,A
Wild Turkey American Honey,22832.489999999998,0.5171891772254351,A
Almaden Chard Cal B/B,22772.829999999998,0.5178763606681136,A
Absolut Ruby Red,22622.16,0.5185589975555636,A
Jameson Caskmates,22462.51,0.5192368169110412,A
Sutter Home Chard,22380.190000000002,0.5199121522124509,A
F Coppola Dmd Ivry Cab Svgn,22375.56,0.520587347800907,A
Stone Cellars Cab Svgn,22281.35,0.5212597005476024,A
Taaka Vodka,22253.52,0.5219312135077974,A
Turning Leaf RSV Cab Svgn,22105.61,0.5225982631973752,A
Franzia Tap Merlot,21856.49,0.5232577955454879,A
Ron Virgin Heavy Bodied Rum,21832.15,0.5239165934198879,A
Smirnoff Green Apple Vodka,21795.82,0.5245742950153244,A
U V Vodka,21780.6,0.5252315373383737,A
Southern Comfort 100 Proof,21740.969999999998,0.5258875838030322,A
Bacardi 151 Proof,21729.129999999997,0.5265432729887773,A
Tortilla Gold Tequila Liquer,21724.3,0.527198816426452,A
Josh Cellars Pnt Nr,21639.49,0.5278518006728548,A
Seagrams Extra Dry Gin,21535.28,0.5285016403216577,A
R Mondavi Cab Svgn Pvt Sel,21518.12,0.5291509621574406,A
Sterling Vintners Cltn Merlo,21496.96,0.5297996454778678,A
Dr McGillicuddy's Root Beer,21287.93,0.5304420211959889,A
Franzia Tap Cab Svgn,21232.88,0.5310827357482155,A
Black Box Chard,21135.88,0.5317205232688021,A
Jim Beam Apple,21134.16,0.5323582588873844,A
Phillips Earthquake Cab Svgn,21023.86,0.5329926661390607,A
Woodford Rsv Bourbon,20923.25,0.5336240374252393,A
Leroux Blackberry Brandy,20921.57,0.5342553580164369,A
Crown Royal Canadian Whisky,20880.54,0.5348854405034262,A
Scoresby Rare,20743.69,0.5355113934617568,A
Eagle Rare Single Barrel Bo,20742.57,0.5361373126234333,A
Balvenie 14 Yr Caribean Cask,20730.969999999998,0.5367628817483363,A
Franzia Sunset Blush Tap,20619.74,0.5373850944430404,A
Corbett Canyon Chard,20451.56,0.5380022322080413,A
Pinnacle Citrus Vodka,20421.98,0.53861847737927,A
Ecco Domani Pnt Grigio Venez,20345.26,0.5392324074797008,A
Smirnoff Blueberry Vodka,20305.19,0.5398451284444841,A
Angeline Pnt Nr,20301.41,0.54045773534556,A
Banfi Pnt Grigio San Angelo,20266.670000000002,0.5410692939468508,A
Godiva Chocolate Liqueur,20178.77,0.5416782001143152,A
Fireball Cinn Whisky Trav,20163.39,0.5422866421812991,A
Il Bastardo Sangiovese Tosc,20155.49,0.5428948458611699,A
Mr Boston Blackberry Brandy,20111.35,0.5435017175907667,A
Rodney Strong Chard,20080.57,0.5441076605158905,A
Justin Cab Svgn Paso Robles,20007.91,0.544711410883087,A
Yellow Tail Shiraz Ausl,19944.35,0.5453132432901698,A
Wild Turkey,19920.94,0.5459143692868332,A
Fish Eye Pnt Grigio,19891.43,0.5465146048020151,A
Patron Anejo Tequila,19741.77,0.547110324239308,A
DeKuyper Sour Apple Pucker,19737.48,0.5477059142233461,A
Bogle Merlot,19710.81,0.5483006994245609,A
Bowman Vodka,19643.15,0.5488934429457681,A
Menage a Trois Midnight,19594.87,0.5494847295897838,A
Zhenka Vodka Plastic,19578.29,0.5500755159226182,A
Jose Cuervo Lime Margarita,19367.09,0.5506599291721294,A
Carnivor Cab Svgn,19311.83,0.5512426749188732,A
Noble Vines 337 Cab Svgn,19280.0,0.5518244601767811,A
Midnight Moon Apple Pie,19227.27,0.5524046542761492,A
Evan Williams Honey Reserve,19202.27,0.5529840939859192,A
Grey Goose Le Citron Vodka,19159.329999999998,0.5535622379561159,A
Yellow Tail Merlot Ausl,19121.92,0.5541392530577184,A
Klinker Brick Old Vine Znfdl,19016.769999999997,0.554713095196672,A
Cupcake Pnt Grigio,19007.73,0.555286664548347,A
Ronrico Silver Rum,18910.38,0.5558572963069277,A
Yellow Tail Cab Svgn Ausl,18830.35,0.5564255131135277,A
Sauza Extra Gold Tequila,18825.67,0.5569935886983949,A
Borsao Tres Picos Garnacha,18761.68,0.5575597333476473,A
Ch Ste Michelle Chard Colmbi,18621.87,0.5581216591485123,A
E & J XO Brandy,18552.66,0.5586814964972145,A
Stags Leap Artemis Cab Svgn,18509.87,0.559240042632681,A
Bogle Chard,18490.19,0.5597979949126559,A
Jim Beam Honey,18462.0,0.5603550965429203,A
Corbett Canyon Pnt Grigio,18460.25,0.5609121453659127,A
Zhenka Vodka 100 Proof,18424.07,0.5614681024362791,A
Liberty School Pnt Nr CC,18356.69,0.5620220262758012,A
Cava Mistinguett Brut,18241.170000000002,0.5625724642318694,A
Grey Goose L'Orange Vodka,18237.969999999998,0.5631228056260688,A
